,Year,Week,State,TotalCases,Duration,Mature,Rain,Temp,API
44,2011,20,WPKL,57,41.0,0.42857142857142855,1.0,29.714285714285715,41.726190476190474
45,2011,21,Selangor,28,40.666666666666664,0.2857142857142857,0.5714285714285714,29.857142857142858,42.076190476190476
46,2011,21,WPKL,43,41.333333333333336,0.2857142857142857,0.5714285714285714,29.857142857142858,37.107142857142854
47,2011,22,WPKL,46,44.666666666666664,1.0,0.5714285714285714,29.714285714285715,42.76190476190476
48,2011,24,Selangor,87,36.25,0.5714285714285714,0.2857142857142857,30.0,64.02857142857142
49,2011,24,WPKL,68,50.75,0.5714285714285714,0.2857142857142857,30.0,55.285714285714285
50,2011,25,Selangor,69,45.4,1.0,0.42857142857142855,29.714285714285715,54.68571428571428
51,2011,25,WPKL,63,62.666666666666664,1.0,0.42857142857142855,29.714285714285715,47.666666666666664
52,2011,27,Johor,19,33.0,0.7142857142857143,0.5714285714285714,28.142857142857142,48.642857142857146
53,2011,27,Selangor,83,44.0,0.42857142857142855,0.7142857142857143,28.857142857142858,59.61904761904762
54,2011,27,WPKL,24,89.0,0.42857142857142855,0.7142857142857143,28.857142857142858,51.67857142857143
55,2011,28,Selangor,45,38.75,0.42857142857142855,0.42857142857142855,29.142857142857142,54.19047619047619
56,2011,28,WPKL,25,96.0,0.42857142857142855,0.42857142857142855,29.142857142857142,48.476190476190474
57,2011,29,Selangor,31,53.0,0.7142857142857143,0.2857142857142857,29.857142857142858,54.85263157894737
58,2011,29,WPKL,35,70.5,0.7142857142857143,0.2857142857142857,29.857142857142858,49.03947368421053
59,2011,30,Selangor,22,42.5,0.42857142857142855,0.42857142857142855,29.0,54.50476190476191
60,2011,30,WPKL,15,39.0,0.42857142857142855,0.42857142857142855,29.0,48.845238095238095
61,2011,31,WPKL,59,40.75,0.2857142857142857,0.42857142857142855,29.571428571428573,49.416666666666664
62,2011,32,WPKL,49,42.5,0.42857142857142855,0.7142857142857143,29.285714285714285,47.892857142857146
63,2011,33,WPKL,53,49.5,0.42857142857142855,0.8571428571428571,29.428571428571427,46.904761904761905
64,2011,34,Selangor,7,31.0,0.7142857142857143,0.5714285714285714,28.714285714285715,47.7047619047619
65,2011,34,WPKL,29,55.0,0.7142857142857143,0.5714285714285714,28.714285714285715,44.083333333333336
66,2011,35,WPKL,29,62.0,0.8571428571428571,0.14285714285714285,29.285714285714285,46.04761904761905
67,2011,41,Selangor,14,32.5,0.7142857142857143,0.42857142857142855,29.857142857142858,50.84761904761905
68,2011,41,WPKL,20,35.5,0.7142857142857143,0.42857142857142855,29.857142857142858,44.845238095238095
69,2011,42,Selangor,10,40.0,0.7142857142857143,1.0,28.857142857142858,41.34285714285714
70,2011,42,WPKL,37,39.666666666666664,0.7142857142857143,1.0,28.857142857142858,33.30952380952381
71,2011,43,WPKL,37,38.0,0.42857142857142855,0.8571428571428571,29.285714285714285,33.416666666666664
72,2011,44,WPKL,55,40.333333333333336,1.0,1.0,28.285714285714285,48.142857142857146
73,2011,45,Selangor,12,32.5,0.8571428571428571,0.8571428571428571,29.0,48.304761904761904
74,2011,45,WPKL,65,43.5,0.8571428571428571,0.8571428571428571,29.0,43.226190476190474
75,2011,46,Selangor,9,40.0,1.0,1.0,29.0,42.46666666666667
76,2011,46,WPKL,53,42.25,1.0,1.0,29.0,36.94047619047619
77,2011,47,Selangor,9,47.0,0.8571428571428571,1.0,29.285714285714285,38.67619047619048
78,2011,47,WPKL,63,47.25,0.8571428571428571,1.0,29.285714285714285,32.07142857142857
79,2011,48,WPKL,56,57.333333333333336,1.0,1.0,28.428571428571427,37.61904761904762
80,2011,49,WPKL,44,49.333333333333336,1.0,0.5714285714285714,28.571428571428573,54.976190476190474
81,2011,50,Selangor,16,32.0,1.0,0.8571428571428571,28.428571428571427,41.77142857142857
82,2011,50,WPKL,32,56.0,1.0,0.8571428571428571,28.428571428571427,36.29761904761905
83,2011,51,Selangor,21,35.0,0.5714285714285714,0.8571428571428571,27.857142857142858,42.8
84,2011,51,WPKL,11,46.0,0.5714285714285714,0.8571428571428571,27.857142857142858,36.357142857142854
85,2011,52,Selangor,9,31.0,1.0,0.75,29.5,40.95
86,2011,52,WPKL,11,53.0,0.75,0.75,29.5,33.75
87,2012,2,Selangor,5,35.0,0.5714285714285714,0.7142857142857143,28.857142857142858,47.266666666666666
88,2012,2,WPKL,21,34.0,0.5714285714285714,0.7142857142857143,28.857142857142858,41.5
89,2012,7,WPKL,13,32.5,0.5714285714285714,1.0,29.142857142857142,42.51190476190476
90,2012,8,WPKL,18,34.5,0.5714285714285714,1.0,29.714285714285715,39.61904761904762
91,2012,9,Selangor,7,31.0,1.0,0.8333333333333334,29.5,40.25714285714286
92,2012,9,WPKL,31,37.25,1.0,0.8333333333333334,29.5,35.20238095238095
93,2012,10,Selangor,21,34.5,1.0,0.5714285714285714,29.571428571428573,47.542857142857144
