Year,Week,State,TotalCases,Duration
2014,6,Selangor,2890,69.22727272727273
2014,6,WPKL,10,34.0
2014,7,NSembilan,192,43.785714285714285
2014,7,Selangor,2660,70.87128712871286
2014,7,WPKL,10,41.0
2014,8,NSembilan,224,45.8
2014,8,Selangor,2505,69.30526315789474
2014,9,NSembilan,156,42.375
2014,9,Sarawak,19,37.0
2014,9,Selangor,2648,72.33333333333333
2014,9,WPKL,14,32.0
2014,10,Kelantan,5,31.0
2014,10,NSembilan,126,45.833333333333336
2014,10,Selangor,1847,70.66666666666667
2014,10,WPKL,7,38.0
2014,11,Kelantan,22,35.0
2014,11,Melaka,7,32.0
2014,11,NSembilan,107,52.77777777777778
2014,11,Selangor,1789,70.47142857142858
2014,11,WPKL,19,33.0
2014,12,Johor,4,32.0
2014,12,Kelantan,18,39.5
2014,12,NSembilan,56,58.25
2014,12,Perak,19,33.0
2014,12,Selangor,1400,74.5
2014,12,WPKL,7,36.0
2014,13,Kelantan,27,32.0
2014,13,NSembilan,41,55.666666666666664
2014,13,Perak,19,36.5
2014,13,Selangor,1324,75.84782608695652
2014,13,WPKL,13,35.5
2014,14,Kelantan,11,40.0
2014,14,NSembilan,31,51.5
2014,14,Penang,14,34.0
2014,14,Selangor,899,73.15625
2014,14,WPKL,11,38.0
2014,15,NSembilan,28,52.5
2014,15,Penang,15,41.0
2014,15,Selangor,1146,77.73684210526316
2014,16,Penang,15,48.0
2014,16,Selangor,1064,75.52941176470588
2014,17,Kelantan,7,32.0
2014,17,Selangor,942,78.96551724137932
2014,18,Kelantan,19,37.5
2014,18,Selangor,979,83.03571428571429
2014,18,WPKL,24,32.0
2014,19,Kelantan,9,46.0
2014,19,Selangor,919,72.2258064516129
2014,20,Kelantan,12,35.0
2014,20,NSembilan,6,32.0
2014,20,Sarawak,10,35.0
2014,20,Selangor,804,61.21052631578947
2014,21,Kelantan,21,38.0
2014,21,NSembilan,15,36.5
2014,21,Pahang,6,35.0
2014,21,Sabah,7,37.0
2014,21,Selangor,901,58.26190476190476
2014,22,Kelantan,10,33.0
2014,22,NSembilan,29,38.333333333333336
2014,22,Pahang,7,42.0
2014,22,Selangor,991,54.056603773584904
2014,22,WPKL,16,32.0
2014,23,Kelantan,11,40.0
2014,23,NSembilan,36,45.333333333333336
2014,23,Pahang,7,49.0
2014,23,Selangor,1157,63.36734693877551
2014,23,WPKL,16,39.0
2014,24,Kelantan,54,37.0
2014,24,NSembilan,73,41.142857142857146
2014,24,Sarawak,10,32.0
2014,24,Selangor,1178,56.71666666666667
2014,25,Kelantan,31,39.5
2014,25,NSembilan,78,45.714285714285715
2014,25,Sarawak,10,39.0
2014,25,Selangor,1070,53.52307692307692
2014,26,Kelantan,74,42.0
2014,26,NSembilan,78,50.5
2014,26,Selangor,1176,54.108108108108105
2014,27,Kelantan,111,39.57142857142857
2014,27,NSembilan,50,50.25
2014,27,Sarawak,8,33.0
2014,27,Selangor,1003,54.193548387096776
2014,28,Kelantan,42,36.666666666666664
2014,28,NSembilan,56,43.0
2014,28,Selangor,794,51.333333333333336
2014,29,Kelantan,569,41.2
2014,29,Melaka,11,33.0
2014,29,NSembilan,24,35.333333333333336
2014,29,Penang,8,34.0
2014,29,Perak,9,32.0
2014,29,Sabah,8,33.0
2014,29,Sarawak,24,39.0
2014,29,Selangor,1707,60.32258064516129
2014,31,Kelantan,1510,42.10204081632653
2014,31,NSembilan,11,33.0
2014,31,Pahang,4,34.0
2014,31,Sabah,9,47.0
2014,31,Sarawak,20,39.333333333333336
2014,31,Selangor,1595,60.60674157303371
2014,32,Kelantan,2439,43.75342465753425
2014,32,NSembilan,6,40.0
2014,32,Sarawak,9,43.0
2014,32,Selangor,1345,58.35897435897436
2014,33,Kelantan,3392,46.37234042553192
2014,33,Sarawak,9,50.0
2014,33,Selangor,1557,58.74444444444445
2014,34,Kelantan,4292,49.5948275862069
2014,34,Selangor,1496,61.89473684210526
2014,35,Kelantan,4872,53.752
2014,35,Penang,10,33.0
2014,35,Selangor,1291,61.5
2014,36,Kelantan,5261,56.875
2014,36,Penang,15,32.0
2014,36,Selangor,1213,59.76470588235294
2014,37,Kelantan,5166,59.96774193548387
2014,37,Penang,30,35.5
2014,37,Selangor,1154,67.65517241379311
2014,38,Kelantan,5096,63.39344262295082
2014,38,Melaka,5,31.0
2014,38,Penang,19,46.0
2014,38,Selangor,1122,62.35087719298246
2014,39,Kelantan,4452,69.03061224489795
2014,39,Melaka,6,38.0
2014,39,Pahang,13,31.0
2014,39,Penang,19,53.0
2014,39,Selangor,1026,57.017857142857146
2014,40,Kelantan,3221,73.86764705882354
2014,40,Melaka,6,45.0
2014,40,Pahang,13,37.0
2014,40,Penang,4,35.0
2014,40,Sabah,13,32.0
2014,40,Selangor,1067,53.35
2014,41,Kelantan,2086,81.24444444444444
2014,41,Perak,18,34.0
2014,41,Sabah,18,39.0
2014,41,Sarawak,4,32.0
2014,41,Selangor,1184,55.96923076923077
2014,42,Johor,13,31.0
2014,42,Kelantan,1115,82.0
2014,42,Pahang,21,37.0
2014,42,Perak,23,35.0
2014,42,Sabah,18,46.0
2014,42,Sarawak,8,34.0
2014,42,Selangor,1294,58.10294117647059
2014,43,Kelantan,372,85.57142857142857
2014,43,Pahang,39,40.0
2014,43,Perak,23,42.0
2014,43,Sarawak,20,34.0
2014,43,Selangor,1513,57.714285714285715
2014,44,Kelantan,372,85.57142857142857
2014,44,Pahang,39,40.0
2014,44,Perak,23,42.0
2014,44,Sarawak,20,34.0
2014,44,Selangor,1507,58.036144578313255
2014,45,Kelantan,45,46.0
2014,45,Melaka,28,36.5
2014,45,Sarawak,22,48.0
2014,45,Selangor,1821,61.561797752808985
2014,46,Kelantan,14,43.0
2014,46,Melaka,30,43.5
2014,46,Penang,4,33.0
2014,46,Sarawak,29,44.5
2014,46,Selangor,1937,59.77
2014,47,Kelantan,24,32.0
2014,47,Sarawak,7,41.0
2014,47,Selangor,2086,62.42857142857143
2014,48,Kelantan,27,39.0
2014,48,Sarawak,22,32.0
2014,48,Selangor,2269,60.11206896551724
2014,49,Kelantan,39,41.666666666666664
2014,49,Perak,14,32.0
2014,49,Selangor,2442,62.44915254237288
2014,50,Kelantan,34,53.0
2014,50,NSembilan,7,32.0
2014,50,Perak,31,38.0
2014,50,Selangor,2687,58.77372262773723
2014,51,Kelantan,21,59.0
2014,51,Perak,102,37.42857142857143
2014,51,Sarawak,6,32.0
2014,51,Selangor,2937,59.58741258741259
2014,52,Kelantan,21,66.0
2014,52,Penang,7,35.0
2014,52,Perak,430,37.88
2014,52,Sarawak,19,36.333333333333336
2014,52,Selangor,2980,61.01418439716312
2014,53,Penang,17,35.0
2014,53,Perak,501,43.074074074074076
2014,53,Sarawak,11,33.0
2014,53,Selangor,2912,60.205673758865245
2015,1,Johor,5,33.0
2015,1,Penang,19,42.0
2015,1,Perak,655,43.64705882352941
2015,1,Sarawak,12,40.0
2015,1,Selangor,2770,59.73381294964029
2015,2,Penang,53,41.75
2015,2,Perak,855,42.18
2015,2,Sabah,22,33.0
2015,2,Sarawak,33,37.333333333333336
2015,2,Selangor,2934,61.18571428571428
2015,3,Penang,55,48.75
2015,3,Perak,917,48.8
2015,3,Sabah,23,40.0
2015,3,Sarawak,47,40.25
2015,3,Selangor,3438,60.61818181818182
2015,4,Melaka,6,32.0
2015,4,Penang,87,48.166666666666664
2015,4,Perak,965,51.91111111111111
2015,4,Sabah,23,47.0
2015,4,Sarawak,34,42.666666666666664
2015,4,Selangor,3971,59.37696335078534
2015,5,Melaka,6,39.0
2015,5,Penang,95,44.5
2015,5,Perak,1065,57.577777777777776
2015,5,Sabah,38,31.5
2015,5,Sarawak,11,49.0
2015,5,Selangor,4516,59.58411214953271
2015,6,Selangor,1105,148.23529411764707
2015,7,Melaka,16,38.0
2015,7,Pahang,8,39.0
2015,7,Penang,182,42.18181818181818
2015,7,Perak,1016,59.6
2015,7,Sabah,82,45.0
2015,7,Selangor,6037,60.77224199288256
2015,8,Pahang,9,35.0
2015,8,Penang,25,39.0
2015,8,Perak,1027,66.1951219512195
2015,8,Sabah,114,48.25
2015,8,Selangor,5862,64.05078125
2015,9,Pahang,9,42.0
2015,9,Penang,17,48.0
2015,9,Perak,1015,70.70270270270271
2015,9,Sabah,111,59.0
2015,9,Selangor,6286,66.4235807860262
2015,10,Penang,28,32.0
2015,10,Perak,1031,69.15789473684211
2015,10,Sabah,187,49.333333333333336
2015,10,Selangor,5158,65.32242990654206
2015,11,Penang,7,31.0
2015,11,Perak,968,77.25
2015,11,Sabah,211,51.0
2015,11,Sarawak,6,33.0
2015,11,Selangor,4601,66.72777777777777
2015,12,Penang,26,37.0
2015,12,Perak,770,71.6
2015,12,Sabah,180,58.142857142857146
2015,12,Sarawak,6,40.0
2015,12,Selangor,3809,68.96478873239437
2015,13,Penang,18,43.0
2015,13,Perak,777,80.23076923076923
2015,13,Sabah,87,66.0
2015,13,Selangor,3130,71.64545454545454
2015,14,Penang,29,51.0
2015,14,Perak,761,88.17391304347827
2015,14,Sabah,87,73.0
2015,14,Selangor,2587,72.375
2015,15,Penang,29,58.0
2015,15,Perak,623,82.0
2015,15,Sarawak,8,32.0
2015,15,Selangor,2321,75.54166666666667
2015,16,Perak,549,91.5625
2015,16,Selangor,1656,69.5079365079365
2015,17,Perak,481,88.64285714285714
2015,17,Selangor,1566,69.51724137931035
2015,18,Melaka,12,36.0
2015,18,Perak,472,98.58333333333333
2015,18,Sarawak,4,36.0
2015,18,Selangor,1311,62.49152542372882
2015,19,Melaka,12,43.0
2015,19,Penang,7,31.0
2015,19,Perak,377,116.25
2015,19,Selangor,1138,58.981818181818184
