Year,Week,State,Mature,Rain,Temp
2011,7,WPKL,0.8571428571428571,1.0,29.857142857142858
2011,8,Ipoh,0.2857142857142857,0.2857142857142857,27.571428571428573
2011,8,Johor,0.42857142857142855,0.42857142857142855,27.857142857142858
2011,8,Kelantan,0.0,0.2857142857142857,26.571428571428573
2011,8,Melaka,0.14285714285714285,0.42857142857142855,28.285714285714285
2011,8,NSembilan,0.5714285714285714,0.8571428571428571,29.142857142857142
2011,8,Pahang,0.0,0.5714285714285714,26.857142857142858
2011,8,Penang,0.42857142857142855,0.42857142857142855,28.714285714285715
2011,8,Perlis,0.0,0.14285714285714285,29.714285714285715
2011,8,Sarawak,0.5714285714285714,0.8571428571428571,26.428571428571427
2011,8,Selangor,0.5714285714285714,0.8571428571428571,30.142857142857142
2011,8,Terengganu,0.0,0.14285714285714285,28.0
